KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
052532-9;31321492;12;8;SPAR HUMLUM;LARS DAUGBJERG;VESTERBROGADE 2, HUMLUM;DK;7600;STRUER;97861162;5790000047031;0525329@SPAR.DK
076082-7;18864177;12;8;SPAR SENNELS;KIM KLIM SØRENSEN;SENNELSVEJ 81  - SENNELS;DK;7700;THISTED;97985017;5790000048311;0760827@SPAR.DK
037753-1;28352948;12;6;KWIK SPAR HVIDOVRE;KØBMAND IRFAN MUMTAZ;HVIDOVREVEJ 270;DK;2650;HVIDOVRE;36781419;5790000048823;hvidovrevej@spar.dk
076087-6;27542476;12;2;MIN KØBMAND FARSTRUP;BENJAMIN ANDERSEN;NY MØLLEVEJ 121, FARSTRUP;DK;9240;NIBE;98686208;5790000049028;0760876@MINKOBMAND.DK
050521-4;32279600;12;4;EUROSPAR SØNDER-OMME;IVER EGSGAARD;VEJLEVEJ 8;DK;7260;SØNDER OMME;75342425;5790000049691;sonder.omme@spar.dk
051629-4;30694791;12;4;EUROSPAR TVED;SUPER SPAR TVED APS;TVEDVEJ 201, TVED;DK;5700;SVENDBORG;62211771;5790000049707;tved@spar.dk
051947-0;18425599;12;2;MIN KØBMAND RIBE;DANNY SVENDSEN;TANGEVEJ 28;DK;6760;RIBE;75420599;5790000049721;0519470@MINKOBMAND.DK
051125-3;27408192;12;4;EUROSPAR BEDSTED THY;EUROSPAR BEDSTED THY APS.;VESTERVIGVEJ 63;DK;7755;BEDSTED THY;97945106;5790000049783;BEDSTED.THY@SPAR.DK
050912-5;29793735;12;8;SPAR ENGESVANG;SPAR ENGESVANG APS;GL. KONGEVEJ 62;DK;7442;ENGESVANG;86865056;5790000049820;0509125@SPAR.DK
051922-3;18691078;12;2;MIN KØBMAND KIRKEBY;LISELOTTE HØJBY SIMONSEN;ASSENSVEJ 46, KIRKEBY;DK;5771;STENSTRUP;62261177;5790000049837;0519223@MINKOBMAND.DK
051923-1;20093072;12;8;SPAR RYNKEBY;SPAR RYNKEBY A/S;RYNKEBY BYGADE 56;DK;5350;RYNKEBY;65391094;5790000049882;0519231@SPAR.DK
200222-8;29615004;12;8;SPAR ESBJERG;HBL ESBJERG APS;BØNDERGÅRDSVEJ 1;DK;6700;ESBJERG;75132255;5790000230198;2002228@SPAR.DK
200309-3;31495903;12;4;EUROSPAR AALBORG Ø;SUPER SPAR AALBORG ØST APS;SALTUMVEJ 3;DK;9220;AALBORG ØST;98157244;5790000230358;saltumvej@spar.dk
218091-7;26000122;12;2;MIN KØBMAND FUNDER KR. BY;STEN PAPE;FUNDER KIRKEVEJ 83,FUNDER KR,B;DK;8600;SILKEBORG;86851017;5790000231447;2180917@MINKOBMAND.DK
076174-2;17667971;12;8;SPAR FILSKOV;PETER MOUSTGÅRD JUNGE;STATIONSVEJ 2, FILSKOV;DK;7200;GRINDSTED;75348021;5790000231843;0761742@SPAR.DK
037627-7;32670431;12;2;MIN KØBMAND FR. BORGVEJ;SPAR APS SELINA T.M.;FREDERIKSBORGVEJ 155;DK;2400;KØBENHAVN NV;39561037;5790000231881;0376277@MINKOBMAND.DK
072036-7;14729976;12;2;MIN KØBMAND ULLITS;JENS KRISTIAN KNUDSEN;FOULUMVEJ 10, ULLITS;DK;9640;FARSØ;98634011;5790000231997;0720367@MINKOBMAND.DK
050153-6;32674712;12;8;SPAR BREJNING;SPAR BREJNING APS;BREJNING SØNDERGADE 38, BREJNI;DK;7080;BØRKOP;75868722;5790000233403;0501536@SPAR.DK
051644-3;30841999;12;2;MIN KØBMAND VRIDSTED;MORTEN PEDERSEN;EGEBJERGVEJ 4, VRIDSTED;DK;7800;SKIVE;97547012;5790000233779;0516443@MINKOBMAND.DK
031088-8;32667945;12;2;MIN KØBMAND ERRINDLEV;ERRINDLEV KØBMANDSHANDEL APS;EGELUNDVEJ 1;DK;4895;ERRINDLEV;54600015;5790000233915;0310888@MINKOBMAND.DK
051459-6;32703585;12;1;GO'ON LÅSBY;HOS KØBMANDEN I/S;GL. SILKEBORGVEJ 1;DK;8670;LÅSBY;86951230;5790000234134;HOSKOBMANDEN@GMAIL.COM
037546-9;17616943;12;2;MIN KØBMAND VÆGGERLØSE;ENY PEDERSEN;LUPINVEJ 1, BØTØ;DK;4873;VÆGGERLØSE;54131350;5790000234172;0375469@MINKOBMAND.DK
051986-8;31452554;12;6;KWIK SPAR HORSENS;JENS CHRISTIAN SØRENSEN;STENSBALLE STRANDVEJ 94;DK;8700;HORSENS;75657106;5790000234325;STENSBALLE@SPAR.DK
050507-3;34236828;12;6;KWIK SPAR STABY;ANITA SØRENSEN;STABYVEJ 61 , STABY;DK;6990;ULFBORG;97491270;5790000234370;STABY@SPAR.DK
030161-4;16364835;12;4;EUROSPAR SVOGERSLEV;STEEN OLSEN;SVOGERSLEV HOVEDGADE 78;DK;4000;ROSKILDE;46383032;5790000234417;SVOGERSLEV@SPAR.DK
050015-7;32745687;12;2;MIN KØBMAND HADERSLEV;ANNA BERG;MARSTRUP BYGADE 125;DK;6100;HADERSLEV;74575121;5790000234721;0500157@MINKOBMAND.DK
051106-3;32741940;12;6;KWIK SPAR FEMMØLLER;MOLS SUPER V/PER RASMUSSEN;KYSTVEJEN 1  -   FEMMØLLER;DK;8400;EBELTOFT;86362354;5790000234905;FEMMOLLER@SPAR.DK
050343-3;32973469;12;2;MIN KØBMAND MØRKE;FLEMMING HOE KRISTENSEN;EBELTOFTVEJ 20;DK;8544;MØRKE;86377102;5790000236589;0503433@MINKOBMAND.DK
050018-1;31657652;12;2;MIN KØBMAND ANDRUP;STEFAN HANSEN;MAJGÅRDSPARKEN 5 - ANDRUP;DK;6705;ESBJERG Ø;75160007;5790000236749;0500181@MINKOBMAND.DK
050947-1;33769849;12;4;EUROSPAR THYBORØN;EUROSPAR THYBORØN APS.;DREJØVEJ 1;DK;7680;THYBORØN;97831980;5790000236817;drejovej.thyboron@spar.dk
050011-6;33159307;12;2;MIN KØBMAND BROVST;SPAR HALVRIMMEN APS;AALBORGVEJ 14;DK;9460;BROVST;96961819;5790000236862;0500116@MINKOBMAND.DK
050027-2;33256167;12;4;*SUPER KØD;SUPER KØD APS;NORDENS ALLE 14;DK;9800;HJØRRING;25545228;5790000237111;SUPERKOD@SPAR.DK
051157-6;26070457;12;4;EUROSPAR ODENSE  NØ;THOMAS NIELSEN / KLAUS NIELSEN;VOLLSMOSE 10;DK;5240;ODENSE NØ;63102030;5790000237234;VOLLSMOSE@SPAR.DK
050215-3;33228295;12;2;MIN KØBMAND LINDELSE;CHANO TERNDRUP CLAUSEN;LANGEGADE 5  -  LINDELSE;DK;5900;RUDKØBING;62571401;5790000237272;0502153@MINKOBMAND.DK
050019-9;32139256;12;8;SPAR TERNDRUP;M & S IMPORT A/S;BYMIDTEN 4;DK;9575;TERNDRUP;98335002;5790000237326;0500199@SPAR.DK
051342-4;33355947;12;4;EUROSPAR HORSENS;PEH  APS.;SMEDETORVET 9;DK;8700;HORSENS;75610388;5790000237333;SMEDETORVET@SPAR.DK
033995-2;21306371;12;1;ESKILDSTRUP GO'ON;ANNE JACOBSEN;ESKILSTRUP VESTERGADE 25;DK;4863;ESKILSTRUP;54437191;5790000237395;BERBAK@OFIR.DK
037734-1;21250732;12;4;EUROSPAR RINGSTED;DRIFTSELSKABET AF 1.1.2011 APS;KØGEVEJ 40;DK;4100;RINGSTED;57616417;5790000237661;EUROSPAR.RINGSTED@SPAR.DK
041230-4;26043441;12;2;MIN KØBMAND EJBYMOSEVEJ;FIKRI ASHIRI;EJBYMOSEVEJ 7;DK;2600;GLOSTRUP;43964405;5790000237715;0412304@MINKOBMAND.DK
051343-2;67241215;12;8;SPAR THORNING;SPAR DANMARK A/S;BLICHERSVEJ 13;DK;8620;KJELLERUP;86880020;5790000237760;0513432@SPAR.DK
050020-7;33306083;12;2;MIN KØBMAND THYBORØN;KIM NEDERBY;HAVNEGADE 52;DK;7680;THYBORØN;97832555;5790000237845;0500207@MINKOBMAND.DK
052411-6;33386060;12;8;SPAR KOLIND;SPAR APS J & S KRISTENSE;MEJERIVEJ 1;DK;8560;KOLIND;86391216;5790000237890;0524116@SPAR.DK
037637-6;15992379;12;8;SPAR HVISSINGE;MOHAMMAD RIAZ;EGESKOV 224 - HVISSINGE;DK;2600;GLOSTRUP;43632970;5790000237944;0376376@SPAR.DK
050518-0;32766366;12;6;KWIK SPAR MAMMEN;MAMMEN APS;MAMMEN BYVEJ 54 A, MAMMEN;DK;8850;BJERRINGBRO;86685029;5790000237999;MAMMEN@SPAR.DK
050844-0;26003881;12;2;MIN KØBMAND BALLE;METTE BACHMANN STEFANSEN;SØNDERVANG 1;DK;8444;BALLE;86337009;5790000238446;0508440@MINKOBMAND.DK
050961-2;33423209;12;2;MIN KØBMAND GLUDSTED;ANITA KARINA FUNKE LARSEN;HJØLLUNDVEJ  6 A , GLUDSTED;DK;7361;EJSTRUPHOLM;75775858;5790000238507;0509612@MINKOBMAND.DK
050856-4;33440960;12;6;KWIK SPAR VEJERS;SPAR VEJERS I/S;VEJERS HAVVEJ 7;DK;6853;VEJERS STRAND;75277063;5790000238583;VEJERS@SPAR.DK
050963-8;16252042;12;4;EUROSPAR THORSØ;SUPERKØB THORSØ A/S;JERNBANEGADE 26;DK;8881;THORSØ;86966021;5790000238675;0509638@SPAR.DK
050137-9;33498764;12;2;MIN KØBMAND KLOVBORG;DEN NY KØBMAND I KLOVBORG AMBA;STOREGADE 68;DK;8765;KLOVBORG;75761002;5790000238699;0501379@MINKOBMAND.DK
050154-4;17425072;12;2;MIN KØBMAND BORK HAVN;SIMON PALLE CHRISTENSEN;KIRKEHØJVEJ 9 B -  BORK HAVN;DK;6893;HEMMET;75280088;5790000238736;0501544@MINKOBMAND.DK
037805-9;33497121;12;8;SPAR NÆSTVED;CHARLOTTE MEJSNER ANDREASEN;NY PRÆSTØVEJ 100;DK;4700;NÆSTVED;55722030;5790000238750;0378059@SPAR.DK
052534-5;33519869;12;2;MIN KØBMAND SKAVE;SKAVE KØBMAND I/S;VIBORGVEJ 234, SKAVE;DK;7500;HOLSTEBRO;97468011;5790000238989;0525345@MINKOBMAND.DK
052021-3;33144598;12;1;GO´ON HTC;GO´ON  HIRTSHALS A/S;DALSAGERVEJ 1 A;DK;9850;HIRTSHALS;98941030;5790000239030;POST@GOONHIRTSHALS.DK
050823-4;85989758;12;2;MIN KØBMAND REDSTED M;ALLAN M LAURIDSEN;GL. MØLLEVEJ 43;DK;7970;REDSTED M;97762113;5790000239108;0508234@MINKOBMAND.DK
050314-4;33661703;12;8;SPAR ARDEN;RENE PLOUGMANN;BYTORVET 18;DK;9510;ARDEN;98561425;5790000239351;0503144@SPAR.DK
037519-6;21537942;12;2;MIN KØBMAND ESPERGÆRDE;MOHAMMAD ARSHAD;MØRDRUPVEJ 113;DK;3060;ESPERGÆRDE;49132309;5790000239948;0375196@MINKOBMAND.DK
051631-0;29148260;12;8;SPAR ANS BY;SPAR ANS A/S J.PEDERSEN;SØNDERMARKSGADE 10;DK;8643;ANS BY;86870854;5790000240111;0516310@SPAR.DK
052217-7;25676386;12;2;MIN KØBMAND SØNDERBORG;ANDRE PICKARDT;GRUNDTVIGS ALLE´  95;DK;6400;SØNDERBORG;74423885;5790000240166;0522177@MINKOBMAND.DK
051519-7;26856663;12;2;MIN KØBMAND RANDERS;PHANTIPA ESKILDSEN;SKELVANGSVEJ 54;DK;8920;RANDERS NV;86421615;5790000240296;0515197@MINKOBMAND.DK
051159-2;26653681;12;8;SPAR GRAUBALLE;KARSTEN LAURSEN;GRØNBÆKVEJ 9, GRAUBALLE;DK;8600;SILKEBORG;86877250;5790000240357;0511592@SPAR.DK
050986-9;33879709;12;2;MIN KØBMAND I SVINGET;SPAR I SVINGET APS;VILSTRUPVEJ 1, JERLEV;DK;7100;VEJLE;75831256;5790000240425;0509869@MINKOBMAND.DK
050331-8;30549007;12;8;SPAR Ø. TØRSLEV;SPAR APS;UDBYHØJVEJ 570, ØSTER TØRSLEV;DK;8983;GJERLEV J;86476029;5790000240432;0503318@SPAR.DK
050858-0;33955898;12;2;MIN KØBMAND SDR. HYGUM;KWIK SPAR SDR. HYGUM;RIBEVEJ 50, SDR. HYGUM;DK;6630;RØDDING;74845303;5790000240494;0508580@MINKOBMAND.DK
051461-2;67241215;12;8;SPAR MUNKEBO;SPAR DANMARK A/S;BYCENTRET  208;DK;5330;MUNKEBO;72170089;5790000240586;0514612@SPAR.DK
051160-0;33971001;12;4;EUROSPAR  WANDALSVEJ APS;EUROSPAR WANDALSVEJ APS;WANDALLSVEJ 10;DK;5700;SVENDBORG;62220771;5790000240791;WANDALLSVEJ@SPAR.DK
051161-8;32786995;12;2;MIN KØBMAND BJERREGÅRD;KØBMANDS SYD APS BRAZILHOLDING;KIRKSVEJ 2, BJERREGÅRD;DK;6960;HVIDE SANDE;97315900;5790000240807;0511618@MINKOBMAND.DK
051162-6;27672914;12;4;EUROSPAR HVIDE SANDE NORD;EBVJCJ A/S;PARALLELVEJ 68;DK;6960;HVIDE SANDE;96757111;5790000240814;HVSNORD@SPAR.DK
051163-4;27672914;12;4;EUROSPAR HVIDE SANDE HAVN;EBVJCJ A/S;STORMGADE 2;DK;6960;HVIDE SANDE;96757100;5790000240869;HVSHAVNEN@SPAR.DK
050201-3;33935013;12;2;MIN KØBMAND LUNDE;LIS TROMBORG VAD;SKOLEGADE 55, LUNDE;DK;6830;NØRRE NEBEL;75282010;5790000241118;0502013@MINKOBMAND.DK
030153-1;30289501;12;4;EUROSPAR FAKSE;BRIAN GROSEN JENSEN;TORVEGADE 6;DK;4640;FAKSE;56713444;5790000241132;FAXE@SPAR.DK
050914-1;17331019;12;2;MIN KØBMAND RØRBÆK;STORE RØRBÆK BUTIK.UDLEJ. AMBA;SKOVMOSEVEJ 1, RØRBÆK;DK;9500;HOBRO;98557808;5790000241248;0509141@MINKOBMAND.DK
051441-4;16426601;12;8;SPAR GRENÅ;HENRIK NØRGAARD;TREKANTEN 46;DK;8500;GRENAA;86322592;5790000241484;0514414@SPAR.DK
037736-6;32893090;12;4;EUROSPAR BLANGSLEV;SUPER SPAR BLANGSLEV APS;BLANGSLEVVEJ 14;DK;4700;NÆSTVED;55711400;5790000241514;BLANGSLEV@SPAR.DK
050964-6;38757156;12;2;MIN KØBMAND BRUNSHÅB;CLAUS NIELSEN;VINKELVEJ 85, BRUNSHÅB;DK;8800;VIBORG;86674930;5790000241521;0509646@MINKOBMAND.DK
050535-4;31078598;12;4;EUROSPAR RANDERS NØ;GLARBJERGVEJ SUPER APS.;GLARBJERGVEJ 75;DK;8930;RANDERS NØ;86430366;5790000241606;GLARBJERGVEJ@SPAR.DK
042003-4;29236828;12;2;MIN KØBMAND EJBYVEJ;MOHAMMED AKRAM;EJBYVEJ 165;DK;2610;RØDOVRE;36700413;5790000241644;0420034@MINKOBMAND.DK
050023-1;16858048;12;2;MIN KØBMAND BRØNDERSLEV;JENS HOLST;VESTERGADE 69;DK;9700;BRØNDERSLEV;98820589;5790000241729;0500231@MINKOBMAND.DK
050824-2;34214115;12;8;SPAR DAUGÅRD; SPAR DAUGÅRD APS;GL. VEJLEVEJ 51;DK;8721;DAUGÅRD;75895328;5790000241736;0508242@SPAR.DK
037628-5;24160678;12;2;MIN KØBMAND HOLEBY;LARS BINDZUS;VESTERVEJ 111;DK;4960;HOLEBY;54607611;5790000242214;0376285@MINKOBMAND.DK
037376-1;31482844;12;2;MIN KØBMAND TAPPERNØJE;JONAS & CELINA APS;BRØDERUPVEJ 1;DK;4733;TAPPERNØJE;55965115;5790000242290;0373761@MINKOBMAND.DK
037630-1;34146195;12;6;KWIK SPAR REGSTRUP;RAVINDAN KANDIAH;HOVEDGADEN 109;DK;4420;REGSTRUP;59471054;5790000244256;REGSTRUP@SPAR.DK
051817-5;43068512;12;2;MIN KØBMAND ROSTRUP;ROSTRUP DAGLIGVARE;LUNDGAARDSVEJ 2, ROSTRUP;DK;9510;ARDEN;98566003;5790000244751;0518175@MINKOBMAND.DK
051432-3;29152144;12;2;MIN KØBMAND NØRAGER;KØBMANDEN I NØRAGER APS;MUNKEHUSEVEJ 9, NØRAGER;DK;8961;ALLINGÅBRO;86486326;5790000244850;0514323@MINKOBMAND.DK
050233-6;33050127;12;8;SPAR HEDENSTED;SPAR HEDENSTED APS;BREDGADE 17;DK;8722;HEDENSTED;75891320;5790000244942;0502336@SPAR.DK
050022-3;67241215;12;8;SPAR FELSTED;SPAR DANMARK A/S;ØSTERGADE 2, FELSTED;DK;6200;AABENRAA;74685109;5790000245260;0500223@SPAR.DK
050176-7;26182484;12;2;MIN KØBMAND  VIRRING;LENE FAST;GADEBAKKEN 36, VIRRING;DK;8660;SKANDERBORG;86921818;5790000245314;0501767@MINKOBMAND.DK
037727-5;18384000;12;8;SPAR DALVANGSVEJ;FINN JACOBSEN;DALVANGSVEJ 52;DK;2600;GLOSTRUP;43451648;5790000246274;0377275@SPAR.DK
050840-8;29090564;12;2;MIN KØBMAND TVIS;LISE LYKKE REENBERG;HOVEDGADEN 8, TVIS;DK;7500;HOLSTEBRO;97435015;5790000246403;0508408@MINKOBMAND.DK
041498-7;27563694;12;6;KWIK SPAR KREGME;SYED HUSSAIN;THORSVEJ 2, KREGME;DK;3300;FREDERIKSVÆRK;47720805;5790000246427;kregme@spar.dk
104651-5;26757010;12;2;MIN KØBMAND STILLINGE;JIM SAMUTTIS;DRØSSELBJERGVEJ 106, STILLINGE;DK;4200;SLAGELSE;58547062;5790000246489;1046515@MINKOBMAND.DK
014928-6;29293651;12;2;MIN KØBMAND NANSENSGADE;J. FRIGAARD;NANSENSGADE 19;DK;1366;KØBENHAVN K;33141409;5790000246519;0149286@MINKOBMAND.DK
050506-5;29333041;12;2;MIN KØBMAND RAVNKILDE;HANNE DEGN;BYGADEN 8,RAVNKILDE;DK;9610;NØRAGER;98569068;5790000246571;0505065@MINKOBMAND.DK
050936-4;65964511;12;2;MIN KØBMAND VITTRUP;LARS JENSEN;LØKKENSVEJ 821, VITTRUP;DK;9480;LØKKEN;98996011;5790000246779;0509364@MINKOBMAND.DK
200925-6;29432899;12;2;MIN KØBMAND THISE;LEIF JUST;SUNDSØREVEJ 91, THISE;DK;7870;ROSLEV;97578035;5790000246892;2009256@MINKOBMAND.DK
051523-9;34611939;12;8;SPAR ASFERG APS;SPAR ASFERG APS V/ H.DEGN;VESTERGADE 16, ASFERG;DK;8990;FÅRUP;86404545;5790000247349;0515239@SPAR.DK
014580-5;57766328;12;8;SPAR NEXØ;SPAR NEXØ APS;TORVET 11;DK;3730;NEXØ;56492249;5790000248124;0145805@SPAR.DK
050841-6;29528799;12;2;MIN KØBMAND STRUER;I.J. MARKED STRUER APS;ÅDALEN 1;DK;7600;STRUER;97850764;5790000248254;0508416@MINKOBMAND.DK
051634-4;29492646;12;6;KWIK SPAR NYBORG;SRIDHARAN PONNAMBALAM;KNUDSHOVEDVEJ 38;DK;5800;NYBORG;65310545;5790000248339;nyborg.knudshovedvej@spar.dk
051434-9;26543002;12;6;KWIK SPAR BRABRAND;AMENA & IDRIS NEZAM;HOUGÅRDSVEJ 66;DK;8220;BRABRAND;86260290;5790000248438;brabrand@spar.dk
050138-7;29572895;12;2;MIN KØBMAND SØNDERHOLM;MERETE ANDERSEN;NIBEVEJ 518, SØNDERHOLM;DK;9240;NIBE;98341318;5790000248483;0501387@MINKOBMAND.DK
035745-9;34079978;12;2;MIN KØBMAND HELSINGØR;SPAR KINGOSVEJ APS;KINGOSVEJ 34;DK;3000;HELSINGØR;49212422;5790000248780;0357459@MINKOBMAND.DK
051147-7;29881944;12;2;MIN KØBMAND BRAMMING;ELLEN KRISTIANSEN;ENGSVINGET 3;DK;6740;BRAMMING;75173187;5790000248919;0511477@MINKOBMAND.DK
050934-9;15380047;12;2;MIN KØBMAND FLAUENSKJOLD;MORTEN JØRGENSEN;ÅLBORGV.597, FLAUENSKJOLD;DK;9330;DRONNINGLUND;98841939;5790000248964;0509349@MINKOBMAND.DK
050619-6;29800170;12;8;SPAR RYSLINGE;THOMAS FABRICIUS;GRÅBJERGVEJ 2;DK;5856;RYSLINGE;62671306;5790000249572;0506196@SPAR.DK
032764-3;19195147;12;2;MIN KØBMAND KR. SONNERUP;KIM CHRISTENSEN;SONNERUPGADE 45,KR.SONNERUP;DK;4060;KIRKE SÅBY;46492580;5790000256419;0327643@MINKOBMAND.DK
051970-2;10493188;12;8;SPAR BIERSTED;ALLAN STÆR;STATIONSVEJ 27, BIERSTED;DK;9440;AABYBRO;98268001;5790000256471;0519702@SPAR.DK
050921-6;27773443;12;2;MIN KØBMAND BORBJERG;BJØRN R. JACOBSEN;NALTOFTEVEJ 27, BORBJERG;DK;7500;HOLSTEBRO;97461011;5790000256518;0509216@MINKOBMAND.DK
051436-4;29940983;12;4;EUROSPAR ASAA;EUROSPAR ASAA APS;SÆBYVEJ 3;DK;9340;ASAA;98851253;5790000256556;asaa@spar.dk
037619-4;28510039;12;6;KWIK SPAR HEDEHUSENE;V/BRDR. COBAN APS;TOPAGER 26;DK;2640;HEDEHUSENE;46560031;5790000256785;hedehusene@spar.dk
037354-8;21111430;12;6;KWIK SPAR SKOVBØLLE;MORTEN DIDERIKSEN;HARPELUNDEVEJ 13,SKOVBØLLE;DK;4900;NAKSKOV;54932028;5790000257294;skovboelle@spar.dk
050124-7;29526478;12;4;EUROSPAR HIRTSHALS;M NIELSEN A/S;MARGRETHEVEJ 12;DK;9850;HIRTSHALS;98941635;5790000257331;michael@spar.dk
051520-5;21813044;12;2;MIN KØBMAND MESINGE;SPAR MESINGE APS;MESINGE BYGADE 54;DK;5370;MESINGE;65341011;5790000257539;0515205@MINKOBMAND.DK
147545-8;31878543;12;2;MIN KØBMAND LISELEJE;SPAR LISELEJE APS;LISELEJEVEJ 117;DK;3360;LISELEJE;47747224;5790000257737;1475458@MINKOBMAND.DK
051148-5;29988692;12;2;MIN KØBMAND BALLUM;JØRGEN KRISTENSEN;BYVEJ 70, BALLUM;DK;6261;BREDEBRO;74716115;5790000257874;0511485@MINKOBMAND.DK
050916-6;19919374;12;2;MIN KØBMAND SEVEL;JØRGEN JOKUMSEN;SØGÅRDSVEJ 4, SEVEL;DK;7830;VINDERUP;97448036;5790000257928;0509166@MINKOBMAND.DK
041797-2;19498948;12;6;KWIK SPAR KLIPPINGE;MOHAMMAD NIZAM UDDIN;KØGEVEJ 9;DK;4672;KLIPPINGE;56578012;5790000258093;klippinge@spar.dk
052014-8;18831082;12;6;KWIK SPAR ESBJERG;VAN MINH TRAN;KRONPRINSENSGADE 99;DK;6700;ESBJERG;75125007;5790000258116;esbjerg.kronprinsensgade@spar.dk
200705-2;20537132;12;2;MIN KØBMAND HÅSTRUP;ANNE OG KENT GREGERSEN;BYGADEN 10, HÅSTRUP;DK;5600;FAABORG;62681085;5790000258215;2007052@MINKOBMAND.DK
104654-9;30088530;12;6;KWIK SPAR HOLBÆK;SAJEE APS;KALUNDBORGVEJ 78;DK;4300;HOLBÆK;59430587;5790000258321;holbak@spar.dk
076006-6;31497930;12;8;SPAR HORNSYLD;SPAR HORNSYLD A/S;APOTEKERBAKKEN 17;DK;8783;HORNSYLD;75687551;5790000268122;0760066@SPAR.DK
076008-2;21099384;12;2;MIN KØBMAND TYLSTRUP;JEANETTE BÆKGAARD;LUNEBORGVEJ 78;DK;9382;TYLSTRUP;98261408;5790000268146;0760082@MINKOBMAND.DK
014931-0;34564035;12;6;KWIK SPAR HELSINGØR;METTE REGEUR;LAPPEN 4;DK;3000;HELSINGØR;49211845;5790000268290;LAPPEN4@SPAR.DK
076023-1;20744898;12;2;MIN KØBMAND FJERRITSLEV;KLAUS ANDERSEN;VESTERGADE 20;DK;9690;FJERRITSLEV;98211120;5790000268351;0760231@MINKOBMAND.DK
076002-5;25081471;12;8;SPAR SKALLERUP KLIT;SKALLERUP KLIT SUPER A/S;NORDRE KLITVEJ 21;DK;9800;HJØRRING;98968497;5790000268368;0760025@SPAR.DK
076162-7;30106628;12;2;MIN KØBMAND HEM;HEM KØBMANDSGÅRD I/S;BALLINGVEJ 62 B  -  HEM;DK;7800;SKIVE;97531244;5790000268498;0761627@MINKOBMAND.DK
076093-4;79282812;12;8;SPAR VALSGÅRD;JETTE JENSEN;HOVEDGADEN 15, VALSGÅRD;DK;9500;HOBRO;98520058;5790000268504;0760934@SPAR.DK
076091-8;25330048;12;2;MIN KØBMAND KJELLERUP;KENT STENSIG SØRENSEN;SØNDERGADE 125;DK;8620;KJELLERUP;86881155;5790000268573;0760918@MINKOBMAND.DK
076041-3;19075508;12;2;MIN KØBMAND GESTEN;ALLAN PIHL;STADION ALLE' 4;DK;6621;GESTEN;75557059;5790000268627;0760413@MINKOBMAND.DK
076020-7;10579848;12;2;MIN KØBMAND BALLE BYGADE;LEIF ØSTERGAARD;BALLE BYGADE;DK;8600;SILKEBORG;86855015;5790000268641;0760207@MINKOBMAND.DK
076114-8;10591287;12;8;SPAR NR.SØBY;PREBEN ANDERSEN;VIBORGVEJ 273, NR. SØBY;DK;7840;HØJSLEV;97535066;5790000268658;0761148@SPAR.DK
076168-4;53916015;12;2;MIN KØBMAND ETTERUP;ETTERUP BRUGSFOR.GRØNNEMOSE;GL. HOVEDVEJ 52  -  ETTERUP;DK;5560;AARUP;64431322;5790000268702;0761684@MINKOBMAND.DK
076029-8;74254217;12;2;MIN KØBMAND HAVNDAL;ALLAN NIELSEN;KRONBORGVEJ 40, DALBYOVER;DK;8970;HAVNDAL;86473340;5790000268764;0760298@MINKOBMAND.DK
076157-7;27783775;12;8;SPAR BÆKMARKSBRO;PETER JESSEN;BROGADE 82;DK;7660;BÆKMARKSBRO;97881811;5790000268771;0761577@SPAR.DK
076056-1;19954390;12;2;MIN KØBMAND VAMMEN;BRIAN VELS;HOBROVEJ 2, VAMMEN;DK;8830;TJELE;86690018;5790000268962;0760561@MINKOBMAND.DK
076149-4;26005396;12;2;MIN KØBMAND GJESSØ;V/KØBMAND JETTE MARK;RUSTRUPVEJ 47, GJESSØ;DK;8600;SILKEBORG;86847020;5790000269020;0761494@MINKOBMAND.DK
076040-5;17155741;12;8;SPAR ÅRESTRUPVEJ;THORKILD JENSEN;ÅRESTRUPSVEJ 2;DK;9000;AALBORG;98135134;5790000269167;0760405@SPAR.DK
076070-2;10051479;12;2;MIN KØBMAND  ULFBORG;DØGNEREN I ULFBORG APS;HOLMEGADE 18;DK;6990;ULFBORG;97491074;5790000269235;0760702@MINKOBMAND.DK
051164-2;14015590;12;4;EUROSPAR HOLSTEBRO;KIM MIKKELSEN;DØESVEJ 109;DK;7500;HOLSTEBRO;97412095;5790000269327;DOESVEJ@SPAR.DK
050859-8;34622590;12;2;MIN KØBMAND HUNDERUP;K.SPAR HUNDERUP/SEJSTRUP APS;KJÆRGÅRDSVEJ 34, HUNDERUP;DK;6740;BRAMMING;75173501;5790000269358;0508598@MINKOBMAND.DK
076069-4;14691197;12;2;MIN KØBMAND AMTOFT;LENE & BENNY G. CHRISTENSEN;GÅRDBÆKVEJ 2, AMTOFT;DK;7742;VESLØS;97993211;5790000269372;0760694@MINKOBMAND.DK
041804-6;34689210;12;8;SPAR MERN;MERN SUPERMARKED APS.;KALVEHAVEVEJ 2 B;DK;4735;MERN;55930809;5790000269457;0418046@SPAR.DK
050860-6;34617074;12;4;EUROSPAR GRÅSTEN;JAFS GRÅSTEN APS;NYGADE 10;DK;6300;GRÅSTEN;74651019;5790000269488;0508606@SPAR.DK
